,To,From,Value,Year,Type
197,South Dakota,Alaska,170.0,2021,MOE
198,Tennessee,Alaska,486.0,2021,MOE
199,Texas,Alaska,1787.0,2021,MOE
200,Utah,Alaska,330.0,2021,MOE
201,Vermont,Alaska,165.0,2021,MOE
202,Virginia,Alaska,1086.0,2021,MOE
203,Washington,Alaska,1128.0,2021,MOE
204,West Virginia,Alaska,216.0,2021,MOE
205,Wisconsin,Alaska,240.0,2021,MOE
206,Wyoming,Alaska,134.0,2021,MOE
207,Puerto Rico,Alaska,254.0,2021,MOE
208,Alabama,Arizona,1338.0,2021,Estimate
209,Alaska,Arizona,977.0,2021,Estimate
210,Arizona,Arizona,,2021,Estimate
211,Arkansas,Arizona,940.0,2021,Estimate
212,California,Arizona,27449.0,2021,Estimate
213,Colorado,Arizona,11880.0,2021,Estimate
214,Connecticut,Arizona,661.0,2021,Estimate
215,Delaware,Arizona,708.0,2021,Estimate
216,District of Columbia ,Arizona,674.0,2021,Estimate
217,Florida,Arizona,6607.0,2021,Estimate
218,Georgia,Arizona,3194.0,2021,Estimate
219,Hawaii,Arizona,1517.0,2021,Estimate
220,Idaho,Arizona,3020.0,2021,Estimate
221,Illinois,Arizona,4126.0,2021,Estimate
222,Indiana,Arizona,1433.0,2021,Estimate
223,Iowa,Arizona,1440.0,2021,Estimate
224,Kansas,Arizona,1980.0,2021,Estimate
225,Kentucky,Arizona,924.0,2021,Estimate
226,Louisiana,Arizona,1691.0,2021,Estimate
227,Maine,Arizona,121.0,2021,Estimate
228,Maryland,Arizona,1744.0,2021,Estimate
229,Massachusetts,Arizona,791.0,2021,Estimate
230,Michigan,Arizona,4251.0,2021,Estimate
231,Minnesota,Arizona,3152.0,2021,Estimate
232,Mississippi,Arizona,676.0,2021,Estimate
233,Missouri,Arizona,4226.0,2021,Estimate
234,Montana,Arizona,2012.0,2021,Estimate
235,Nebraska,Arizona,1009.0,2021,Estimate
236,Nevada,Arizona,5792.0,2021,Estimate
237,New Hampshire,Arizona,13.0,2021,Estimate
238,New Jersey,Arizona,456.0,2021,Estimate
239,New Mexico,Arizona,3738.0,2021,Estimate
240,New York,Arizona,2472.0,2021,Estimate
241,North Carolina,Arizona,5929.0,2021,Estimate
242,North Dakota,Arizona,1419.0,2021,Estimate
243,Ohio,Arizona,2770.0,2021,Estimate
244,Oklahoma,Arizona,961.0,2021,Estimate
245,Oregon,Arizona,6545.0,2021,Estimate
246,Pennsylvania,Arizona,2626.0,2021,Estimate
247,Rhode Island,Arizona,247.0,2021,Estimate
248,South Carolina,Arizona,4696.0,2021,Estimate
249,South Dakota,Arizona,529.0,2021,Estimate
250,Tennessee,Arizona,3625.0,2021,Estimate
251,Texas,Arizona,17609.0,2021,Estimate
252,Utah,Arizona,8279.0,2021,Estimate
253,Vermont,Arizona,101.0,2021,Estimate
254,Virginia,Arizona,5698.0,2021,Estimate
255,Washington,Arizona,10300.0,2021,Estimate
256,West Virginia,Arizona,1221.0,2021,Estimate
257,Wisconsin,Arizona,2859.0,2021,Estimate
258,Wyoming,Arizona,357.0,2021,Estimate
259,Puerto Rico,Arizona,0.0,2021,Estimate
260,Alabama,Arizona,1009.0,2021,MOE
261,Alaska,Arizona,474.0,2021,MOE
262,Arizona,Arizona,,2021,MOE
263,Arkansas,Arizona,498.0,2021,MOE
264,California,Arizona,4228.0,2021,MOE
265,Colorado,Arizona,3478.0,2021,MOE
266,Connecticut,Arizona,562.0,2021,MOE
267,Delaware,Arizona,560.0,2021,MOE
268,District of Columbia ,Arizona,632.0,2021,MOE
269,Florida,Arizona,1882.0,2021,MOE
270,Georgia,Arizona,1576.0,2021,MOE
271,Hawaii,Arizona,858.0,2021,MOE
272,Idaho,Arizona,1165.0,2021,MOE
273,Illinois,Arizona,1523.0,2021,MOE
274,Indiana,Arizona,742.0,2021,MOE
275,Iowa,Arizona,681.0,2021,MOE
276,Kansas,Arizona,800.0,2021,MOE
277,Kentucky,Arizona,580.0,2021,MOE
278,Louisiana,Arizona,1785.0,2021,MOE
279,Maine,Arizona,127.0,2021,MOE
280,Maryland,Arizona,869.0,2021,MOE
281,Massachusetts,Arizona,398.0,2021,MOE
282,Michigan,Arizona,2166.0,2021,MOE
283,Minnesota,Arizona,1090.0,2021,MOE
284,Mississippi,Arizona,487.0,2021,MOE
285,Missouri,Arizona,2047.0,2021,MOE
286,Montana,Arizona,901.0,2021,MOE
287,Nebraska,Arizona,731.0,2021,MOE
288,Nevada,Arizona,1751.0,2021,MOE
289,New Hampshire,Arizona,22.0,2021,MOE
290,New Jersey,Arizona,352.0,2021,MOE
291,New Mexico,Arizona,1586.0,2021,MOE
292,New York,Arizona,886.0,2021,MOE
293,North Carolina,Arizona,2668.0,2021,MOE
294,North Dakota,Arizona,1632.0,2021,MOE
295,Ohio,Arizona,988.0,2021,MOE
296,Oklahoma,Arizona,640.0,2021,MOE
297,Oregon,Arizona,2001.0,2021,MOE
298,Pennsylvania,Arizona,1390.0,2021,MOE
299,Rhode Island,Arizona,283.0,2021,MOE
300,South Carolina,Arizona,1696.0,2021,MOE
301,South Dakota,Arizona,459.0,2021,MOE
302,Tennessee,Arizona,2324.0,2021,MOE
303,Texas,Arizona,3581.0,2021,MOE
304,Utah,Arizona,2420.0,2021,MOE
305,Vermont,Arizona,158.0,2021,MOE
306,Virginia,Arizona,2326.0,2021,MOE
