,To,From,Value,Year,Type
178,Michigan,Alaska,758.0,2010,MOE
179,Minnesota,Alaska,851.0,2010,MOE
180,Mississippi,Alaska,1055.0,2010,MOE
181,Missouri,Alaska,822.0,2010,MOE
182,Montana,Alaska,561.0,2010,MOE
183,Nebraska,Alaska,46.0,2010,MOE
184,Nevada,Alaska,659.0,2010,MOE
185,New Hampshire,Alaska,257.0,2010,MOE
186,New Jersey,Alaska,407.0,2010,MOE
187,New Mexico,Alaska,801.0,2010,MOE
188,New York,Alaska,2375.0,2010,MOE
189,North Carolina,Alaska,1103.0,2010,MOE
190,North Dakota,Alaska,823.0,2010,MOE
191,Ohio,Alaska,1531.0,2010,MOE
192,Oklahoma,Alaska,1554.0,2010,MOE
193,Oregon,Alaska,910.0,2010,MOE
194,Pennsylvania,Alaska,1301.0,2010,MOE
195,Rhode Island,Alaska,291.0,2010,MOE
196,South Carolina,Alaska,1199.0,2010,MOE
197,South Dakota,Alaska,44.0,2010,MOE
198,Tennessee,Alaska,300.0,2010,MOE
199,Texas,Alaska,3256.0,2010,MOE
200,Utah,Alaska,1320.0,2010,MOE
201,Vermont,Alaska,181.0,2010,MOE
202,Virginia,Alaska,1952.0,2010,MOE
203,Washington,Alaska,2055.0,2010,MOE
204,West Virginia,Alaska,1210.0,2010,MOE
205,Wisconsin,Alaska,549.0,2010,MOE
206,Wyoming,Alaska,269.0,2010,MOE
207,Puerto Rico,Alaska,259.0,2010,MOE
208,Alabama,Arizona,676.0,2010,Estimate
209,Alaska,Arizona,1354.0,2010,Estimate
210,Arizona,Arizona,,2010,Estimate
211,Arkansas,Arizona,777.0,2010,Estimate
212,California,Arizona,33854.0,2010,Estimate
213,Colorado,Arizona,12287.0,2010,Estimate
214,Connecticut,Arizona,664.0,2010,Estimate
215,Delaware,Arizona,60.0,2010,Estimate
216,District of Columbia ,Arizona,662.0,2010,Estimate
217,Florida,Arizona,3907.0,2010,Estimate
218,Georgia,Arizona,2554.0,2010,Estimate
219,Hawaii,Arizona,1398.0,2010,Estimate
220,Idaho,Arizona,3086.0,2010,Estimate
221,Illinois,Arizona,5921.0,2010,Estimate
222,Indiana,Arizona,2210.0,2010,Estimate
223,Iowa,Arizona,1483.0,2010,Estimate
224,Kansas,Arizona,2238.0,2010,Estimate
225,Kentucky,Arizona,2598.0,2010,Estimate
226,Louisiana,Arizona,1960.0,2010,Estimate
227,Maine,Arizona,254.0,2010,Estimate
228,Maryland,Arizona,1124.0,2010,Estimate
229,Massachusetts,Arizona,1572.0,2010,Estimate
230,Michigan,Arizona,3197.0,2010,Estimate
231,Minnesota,Arizona,4165.0,2010,Estimate
232,Mississippi,Arizona,187.0,2010,Estimate
233,Missouri,Arizona,2988.0,2010,Estimate
234,Montana,Arizona,1909.0,2010,Estimate
235,Nebraska,Arizona,2322.0,2010,Estimate
236,Nevada,Arizona,7818.0,2010,Estimate
237,New Hampshire,Arizona,544.0,2010,Estimate
238,New Jersey,Arizona,1625.0,2010,Estimate
239,New Mexico,Arizona,6117.0,2010,Estimate
240,New York,Arizona,2649.0,2010,Estimate
241,North Carolina,Arizona,2847.0,2010,Estimate
242,North Dakota,Arizona,662.0,2010,Estimate
243,Ohio,Arizona,4715.0,2010,Estimate
244,Oklahoma,Arizona,2759.0,2010,Estimate
245,Oregon,Arizona,5264.0,2010,Estimate
246,Pennsylvania,Arizona,3668.0,2010,Estimate
247,Rhode Island,Arizona,324.0,2010,Estimate
248,South Carolina,Arizona,1457.0,2010,Estimate
249,South Dakota,Arizona,745.0,2010,Estimate
250,Tennessee,Arizona,2291.0,2010,Estimate
251,Texas,Arizona,16521.0,2010,Estimate
252,Utah,Arizona,8147.0,2010,Estimate
253,Vermont,Arizona,65.0,2010,Estimate
254,Virginia,Arizona,3807.0,2010,Estimate
255,Washington,Arizona,5971.0,2010,Estimate
256,West Virginia,Arizona,0.0,2010,Estimate
257,Wisconsin,Arizona,1854.0,2010,Estimate
258,Wyoming,Arizona,1511.0,2010,Estimate
259,Puerto Rico,Arizona,288.0,2010,Estimate
260,Alabama,Arizona,606.0,2010,MOE
261,Alaska,Arizona,805.0,2010,MOE
262,Arizona,Arizona,,2010,MOE
263,Arkansas,Arizona,557.0,2010,MOE
264,California,Arizona,4816.0,2010,MOE
265,Colorado,Arizona,2324.0,2010,MOE
266,Connecticut,Arizona,484.0,2010,MOE
267,Delaware,Arizona,78.0,2010,MOE
268,District of Columbia ,Arizona,466.0,2010,MOE
269,Florida,Arizona,1463.0,2010,MOE
270,Georgia,Arizona,1303.0,2010,MOE
271,Hawaii,Arizona,849.0,2010,MOE
272,Idaho,Arizona,2015.0,2010,MOE
273,Illinois,Arizona,1897.0,2010,MOE
274,Indiana,Arizona,914.0,2010,MOE
275,Iowa,Arizona,623.0,2010,MOE
276,Kansas,Arizona,878.0,2010,MOE
277,Kentucky,Arizona,1483.0,2010,MOE
278,Louisiana,Arizona,1204.0,2010,MOE
279,Maine,Arizona,290.0,2010,MOE
280,Maryland,Arizona,770.0,2010,MOE
281,Massachusetts,Arizona,1170.0,2010,MOE
282,Michigan,Arizona,1076.0,2010,MOE
283,Minnesota,Arizona,1655.0,2010,MOE
284,Mississippi,Arizona,188.0,2010,MOE
285,Missouri,Arizona,1145.0,2010,MOE
286,Montana,Arizona,1125.0,2010,MOE
287,Nebraska,Arizona,1501.0,2010,MOE
288,Nevada,Arizona,2342.0,2010,MOE
289,New Hampshire,Arizona,383.0,2010,MOE
290,New Jersey,Arizona,847.0,2010,MOE
291,New Mexico,Arizona,2902.0,2010,MOE
292,New York,Arizona,799.0,2010,MOE
293,North Carolina,Arizona,1062.0,2010,MOE
294,North Dakota,Arizona,481.0,2010,MOE
295,Ohio,Arizona,2132.0,2010,MOE
296,Oklahoma,Arizona,1013.0,2010,MOE
297,Oregon,Arizona,1539.0,2010,MOE
298,Pennsylvania,Arizona,1451.0,2010,MOE
299,Rhode Island,Arizona,286.0,2010,MOE
300,South Carolina,Arizona,870.0,2010,MOE
301,South Dakota,Arizona,533.0,2010,MOE
302,Tennessee,Arizona,1160.0,2010,MOE
303,Texas,Arizona,3719.0,2010,MOE
304,Utah,Arizona,2522.0,2010,MOE
305,Vermont,Arizona,76.0,2010,MOE
306,Virginia,Arizona,1454.0,2010,MOE
307,Washington,Arizona,2284.0,2010,MOE
308,West Virginia,Arizona,269.0,2010,MOE
309,Wisconsin,Arizona,674.0,2010,MOE
310,Wyoming,Arizona,915.0,2010,MOE
311,Puerto Rico,Arizona,356.0,2010,MOE
312,Alabama,Arkansas,1481.0,2010,Estimate
313,Alaska,Arkansas,47.0,2010,Estimate
314,Arizona,Arkansas,689.0,2010,Estimate
315,Arkansas,Arkansas,,2010,Estimate
316,California,Arkansas,4172.0,2010,Estimate
317,Colorado,Arkansas,1034.0,2010,Estimate
318,Connecticut,Arkansas,334.0,2010,Estimate
319,Delaware,Arkansas,0.0,2010,Estimate
320,District of Columbia ,Arkansas,155.0,2010,Estimate
321,Florida,Arkansas,3611.0,2010,Estimate
322,Georgia,Arkansas,599.0,2010,Estimate
323,Hawaii,Arkansas,0.0,2010,Estimate
324,Idaho,Arkansas,45.0,2010,Estimate
325,Illinois,Arkansas,1194.0,2010,Estimate
326,Indiana,Arkansas,1548.0,2010,Estimate
327,Iowa,Arkansas,247.0,2010,Estimate
328,Kansas,Arkansas,1596.0,2010,Estimate
329,Kentucky,Arkansas,558.0,2010,Estimate
330,Louisiana,Arkansas,2382.0,2010,Estimate
331,Maine,Arkansas,67.0,2010,Estimate
332,Maryland,Arkansas,273.0,2010,Estimate
333,Massachusetts,Arkansas,206.0,2010,Estimate
334,Michigan,Arkansas,636.0,2010,Estimate
335,Minnesota,Arkansas,279.0,2010,Estimate
336,Mississippi,Arkansas,4941.0,2010,Estimate
337,Missouri,Arkansas,4381.0,2010,Estimate
338,Montana,Arkansas,672.0,2010,Estimate
339,Nebraska,Arkansas,674.0,2010,Estimate
340,Nevada,Arkansas,530.0,2010,Estimate
341,New Hampshire,Arkansas,0.0,2010,Estimate
342,New Jersey,Arkansas,258.0,2010,Estimate
343,New Mexico,Arkansas,77.0,2010,Estimate
344,New York,Arkansas,362.0,2010,Estimate
345,North Carolina,Arkansas,550.0,2010,Estimate
346,North Dakota,Arkansas,168.0,2010,Estimate
347,Ohio,Arkansas,434.0,2010,Estimate
348,Oklahoma,Arkansas,5873.0,2010,Estimate
349,Oregon,Arkansas,246.0,2010,Estimate
350,Pennsylvania,Arkansas,807.0,2010,Estimate
351,Rhode Island,Arkansas,0.0,2010,Estimate
352,South Carolina,Arkansas,365.0,2010,Estimate
353,South Dakota,Arkansas,61.0,2010,Estimate
354,Tennessee,Arkansas,4736.0,2010,Estimate
355,Texas,Arkansas,15251.0,2010,Estimate
356,Utah,Arkansas,316.0,2010,Estimate
357,Vermont,Arkansas,0.0,2010,Estimate
358,Virginia,Arkansas,1233.0,2010,Estimate
359,Washington,Arkansas,658.0,2010,Estimate
360,West Virginia,Arkansas,0.0,2010,Estimate
361,Wisconsin,Arkansas,518.0,2010,Estimate
362,Wyoming,Arkansas,0.0,2010,Estimate
363,Puerto Rico,Arkansas,0.0,2010,Estimate
364,Alabama,Arkansas,1038.0,2010,MOE
365,Alaska,Arkansas,78.0,2010,MOE
366,Arizona,Arkansas,415.0,2010,MOE
367,Arkansas,Arkansas,,2010,MOE
368,California,Arkansas,1340.0,2010,MOE
369,Colorado,Arkansas,739.0,2010,MOE
370,Connecticut,Arkansas,517.0,2010,MOE
371,Delaware,Arkansas,265.0,2010,MOE
372,District of Columbia ,Arkansas,195.0,2010,MOE
373,Florida,Arkansas,1562.0,2010,MOE
374,Georgia,Arkansas,436.0,2010,MOE
375,Hawaii,Arkansas,275.0,2010,MOE
376,Idaho,Arkansas,73.0,2010,MOE
377,Illinois,Arkansas,665.0,2010,MOE
378,Indiana,Arkansas,1104.0,2010,MOE
379,Iowa,Arkansas,190.0,2010,MOE
380,Kansas,Arkansas,1073.0,2010,MOE
381,Kentucky,Arkansas,547.0,2010,MOE
382,Louisiana,Arkansas,1114.0,2010,MOE
383,Maine,Arkansas,112.0,2010,MOE
384,Maryland,Arkansas,418.0,2010,MOE
385,Massachusetts,Arkansas,343.0,2010,MOE
386,Michigan,Arkansas,434.0,2010,MOE
387,Minnesota,Arkansas,321.0,2010,MOE
388,Mississippi,Arkansas,2495.0,2010,MOE
389,Missouri,Arkansas,1133.0,2010,MOE
390,Montana,Arkansas,487.0,2010,MOE
391,Nebraska,Arkansas,587.0,2010,MOE
392,Nevada,Arkansas,421.0,2010,MOE
393,New Hampshire,Arkansas,257.0,2010,MOE
394,New Jersey,Arkansas,346.0,2010,MOE
395,New Mexico,Arkansas,109.0,2010,MOE
396,New York,Arkansas,249.0,2010,MOE
397,North Carolina,Arkansas,306.0,2010,MOE
398,North Dakota,Arkansas,206.0,2010,MOE
399,Ohio,Arkansas,504.0,2010,MOE
400,Oklahoma,Arkansas,1827.0,2010,MOE
401,Oregon,Arkansas,217.0,2010,MOE
402,Pennsylvania,Arkansas,601.0,2010,MOE
403,Rhode Island,Arkansas,291.0,2010,MOE
404,South Carolina,Arkansas,280.0,2010,MOE
405,South Dakota,Arkansas,120.0,2010,MOE
406,Tennessee,Arkansas,1836.0,2010,MOE
407,Texas,Arkansas,3182.0,2010,MOE
408,Utah,Arkansas,262.0,2010,MOE
409,Vermont,Arkansas,211.0,2010,MOE
410,Virginia,Arkansas,1034.0,2010,MOE
411,Washington,Arkansas,531.0,2010,MOE
412,West Virginia,Arkansas,269.0,2010,MOE
413,Wisconsin,Arkansas,299.0,2010,MOE
